channel,mean_V,std_V,min_V,max_V,peak_to_peak_V
top,0.29338503433233504,0.010706377619437615,0.26031405479,0.33317837561,0.07286432082
mid,0.30105651666232996,0.010262922404290768,0.26533918036,0.33820350119,0.07286432083
bot,-0.01941431248239,0.05736143884722344,-0.26394381678,0.16805488983,0.43199870661
