time_s,top_V,top_centered_V,top_normalized,mid_V,mid_centered_V,mid_normalized,bot_V,bot_centered_V,bot_normalized
0.0,0.28292711987,-0.010457914462335016,-0.9767929764917398,0.30428390356,0.003227386897670048,0.3144705543443189,-0.04105517827,-0.02164086578761,-0.37727201797096344
9.999999999998634e-10,0.28041455708,-0.012970477252335022,-1.211472050900474,0.31182159192,0.01076507525767001,1.0489288366020675,0.01081708668,0.03023139916239,0.5270334874776827
1.9999999999999385e-09,0.28543968266,-0.00794535167233501,-0.7421139020830058,0.30554018496,0.0044836682976700515,0.4368802687035322,-0.05969677349,-0.04028246100761,-0.7022568090542216
3.0000000000000136e-09,0.27287686872,-0.02050816561233504,-1.9155092731926535,0.30428390356,0.003227386897670048,0.3144705543443189,-0.02646610375,-0.007051791267610002,-0.12293609451450051
3.999999999999877e-09,0.28543968266,-0.00794535167233501,-0.7421139020830058,0.30051505938,-0.0005414572823299602,-0.0527585867845581,0.04080573986,0.06022005234239,1.0498351079159678
4.999999999999952e-09,0.28669596405,-0.006689070282335063,-0.6247743653456552,0.29172108963,-0.00933542703232998,-0.909626582427144,0.04242674814,0.06184106062239,1.0780946549666857
6.000000000000027e-09,0.28418340127,-0.009201633062335013,-0.8594534388203614,0.29548993381,-0.005566582852329971,-0.542397441298267,0.02459565706,0.044009969542390004,0.7672396374087868
6.999999999999891e-09,0.28920852684,-0.004176507492335058,-0.39009529093692114,0.29172108963,-0.00933542703232998,-0.909626582427144,-0.02727660789,-0.00786229540761,-0.1370658680398595
7.999999999999966e-09,0.28920852684,-0.004176507492335058,-0.39009529093692114,0.28920852684,-0.011847989822329985,-1.154446010171189,-0.01430854165,0.00510577083239,0.0890105083658853
9.000000000000041e-09,0.29046480823,-0.002920226102335055,-0.2727557541995655,0.29172108963,-0.00933542703232998,-0.909626582427144,-0.04753921139,-0.028124898907610003,-0.4903102061738359
9.999999999999904e-09,0.28418340127,-0.009201633062335013,-0.8594534388203614,0.28041455708,-0.02064195958232995,-2.011314006788151,0.02702716948,0.046441481962389994,0.8096289579848637
1.099999999999998e-08,0.2967462152,0.003361180867664959,0.31394193135525844,0.28669596405,-0.014360552612329991,-1.3992654379152343,-0.06212828591,-0.04271397342761,-0.7446461296302987
1.2000000000000055e-08,0.28669596405,-0.006689070282335063,-0.6247743653456552,0.28795224545,-0.013104271212329988,-1.276855723556021,0.04242674814,0.06184106062239,1.0780946549666857
1.2999999999999918e-08,0.29800249659,0.0046174622576649615,0.4312814680926141,0.29925877799,-0.0017977386723299627,-0.17516830016938997,-0.00782450853,0.01158980395239,0.2020486965687577
1.3999999999999993e-08,0.29925877799,0.005873743657664965,0.5486210057639925,0.30051505938,-0.0005414572823299602,-0.0527585867845581,-0.00863501267,0.010779299812389998,0.18791892304339863
1.4999999999999856e-08,0.29297737102,-0.00040766331233504927,-0.03807667979083135,0.29046480823,-0.010591708432329983,-1.0320362967863572,-0.1634413034,-0.14402699091760998,-2.510867820125847
1.599999999999993e-08,0.3155904361,0.022205401767664945,2.074034987085702,0.29800249659,-0.003054020072329966,-0.2975780145286032,0.05620531852,0.07561963100239,1.3183008048977896
1.7000000000000007e-08,0.3155904361,0.022205401767664945,2.074034987085702,0.28292711987,-0.018129396792329944,-1.7664945790441058,-0.06131778177,-0.041903469287610004,-0.7305163561049398
1.799999999999987e-08,0.30679646635,0.013411432017664981,1.2526582280561722,0.28167083848,-0.019385678182329946,-1.8889042924289376,0.01405910324,0.03347341572239,0.583552581579119
1.8999999999999945e-08,0.31433415471,0.020949120377664943,1.9566954503483465,0.28418340127,-0.01687311539232994,-1.6440848646848927,-0.01836106235,0.0010532501323900004,0.018361640739090048
2.000000000000002e-08,0.28795224545,-0.00543278888233506,-0.5074348276742768,0.29046480823,-0.010591708432329983,-1.0320362967863572,-0.03781316171,-0.018398849227610002,-0.32075292386952725
2.0999999999999884e-08,0.29046480823,-0.002920226102335055,-0.2727557541995655,0.30554018496,0.0044836682976700515,0.4368802687035322,-0.04105517827,-0.02164086578761,-0.37727201797096344
2.199999999999996e-08,0.29925877799,0.005873743657664965,0.5486210057639925,0.31056531053,0.009508793867670062,0.9265191232172411,-0.06374929419,-0.04433498170761,-0.7729056766810168
2.3000000000000034e-08,0.29046480823,-0.002920226102335055,-0.2727557541995655,0.30428390356,0.003227386897670048,0.3144705543443189,-0.02970812031,-0.01029380782761,-0.17945518861593668
2.3999999999999897e-08,0.29548993381,0.0021048994776649566,0.19660239461790277,0.29297737102,-0.008079145642329977,-0.7872168690423121,-0.00944551681,0.009968795672389999,0.1737891495180396
2.4999999999999972e-08,0.28795224545,-0.00543278888233506,-0.5074348276742768,0.28418340127,-0.01687311539232994,-1.6440848646848927,-0.06050727763,-0.04109296514761,-0.7163865825795808
2.6000000000000048e-08,0.29423365241,0.0008486180776649532,0.07926285694652431,0.28418340127,-0.01687311539232994,-1.6440848646848927,-0.00782450853,0.01158980395239,0.2020486965687577
2.699999999999991e-08,0.29172108963,-0.0016639447023350518,-0.15541621652818702,0.2967462152,-0.0043103014623299685,-0.41998772791343514,0.00352254943,0.02293686191239,0.39986552592378444
2.7999999999999986e-08,0.29046480823,-0.002920226102335055,-0.2727557541995655,0.30051505938,-0.0005414572823299602,-0.0527585867845581,-0.00620350025,0.013210812232389998,0.2303082436194758
2.899999999999985e-08,0.29423365241,0.0008486180776649532,0.07926285694652431,0.31307787332,0.012021356657670013,1.1713385509612808,-0.03457114515,-0.015156832667610004,-0.26423382976809107
2.9999999999999925e-08,0.29925877799,0.005873743657664965,0.5486210057639925,0.32187184307,0.02081532640767003,2.0282065466038666,0.05944733508,0.07886164756239,1.374819898999226
3.1e-08,0.29548993381,0.0021048994776649566,0.19660239461790277,0.3168467175,0.01579020083767002,1.5385676920901579,-0.06618080661,-0.046766494127610005,-0.8152949972570941
3.199999999999986e-08,0.29046480823,-0.002920226102335055,-0.2727557541995655,0.2967462152,-0.0043103014623299685,-0.41998772791343514,-0.01430854165,0.00510577083239,0.0890105083658853
3.299999999999994e-08,0.28543968266,-0.00794535167233501,-0.7421139020830058,0.28543968266,-0.015616834002329938,-1.5216751513000608,-0.06942282317,-0.050008510687609996,-0.8718140913585302
3.400000000000001e-08,0.2766457129,-0.01673932143233503,-1.5634906620465638,0.28795224545,-0.013104271212329988,-1.276855723556021,-0.02565559961,-0.006241287127610001,-0.10880632098914143
3.4999999999999877e-08,0.28669596405,-0.006689070282335063,-0.6247743653456552,0.29046480823,-0.010591708432329983,-1.0320362967863572,-0.06618080661,-0.046766494127610005,-0.8152949972570941
3.599999999999995e-08,0.28920852684,-0.004176507492335058,-0.39009529093692114,0.29548993381,-0.005566582852329971,-0.542397441298267,-0.00782450853,0.01158980395239,0.2020486965687577
3.700000000000003e-08,0.28167083848,-0.011714195852335019,-1.0941325132290955,0.28795224545,-0.013104271212329988,-1.276855723556021,-0.03295013687,-0.013535824387610002,-0.23597428271737292
3.799999999999989e-08,0.26785174315,-0.02553329118233505,-2.384867421076099,0.28292711987,-0.018129396792329944,-1.7664945790441058,0.0091960784,0.02861039088239,0.49877394042696466
3.8999999999999965e-08,0.26157033618,-0.031814698152335064,-2.9715651066309228,0.28418340127,-0.01687311539232994,-1.6440848646848927,-0.05321274037,-0.03379842788761,-0.5892186208513491
4.000000000000004e-08,0.27036430594,-0.023020728392335044,-2.150188346667365,0.28669596405,-0.014360552612329991,-1.3992654379152343,0.0132485991,0.03266291158239,0.5694228080537599
4.0999999999999904e-08,0.27413315012,-0.019251884212335035,-1.7981697355212751,0.28920852684,-0.011847989822329985,-1.154446010171189,-0.01592954993,0.0034847625523900007,0.06075096131516721
4.199999999999998e-08,0.29046480823,-0.002920226102335055,-0.2727557541995655,0.2967462152,-0.0043103014623299685,-0.41998772791343514,-0.00134047541,0.01807383707239,0.3150868847716301
4.3000000000000054e-08,0.30554018496,0.012155150627664979,1.1353186913188165,0.30428390356,0.003227386897670048,0.3144705543443189,0.16805488983,0.18746920231239,3.2682095512230056
4.399999999999992e-08,0.30177134078,0.00838630644766497,0.7833000801727267,0.30679646635,0.005739949687670054,0.5592899820883641,-0.12940012952,-0.10998581703760998,-1.9174173320607666
4.499999999999999e-08,0.29297737102,-0.00040766331233504927,-0.03807667979083135,0.29800249659,-0.003054020072329966,-0.2975780145286032,-0.04348669069,-0.024072378207610004,-0.41966133854704063
4.5999999999999856e-08,0.29297737102,-0.00040766331233504927,-0.03807667979083135,0.29548993381,-0.005566582852329971,-0.542397441298267,0.00838557427,0.02779988675239,0.48464416707593877
4.699999999999993e-08,0.27915827569,-0.014226758642335025,-1.3288115876378297,0.30177134078,0.0007148241176700432,0.06965112757465518,-0.04267618655,-0.023261874067610003,-0.4055315650216816
4.8000000000000006e-08,0.29046480823,-0.002920226102335055,-0.2727557541995655,0.30679646635,0.005739949687670054,0.5592899820883641,-0.01106652509,0.00834778739239,0.1455296024673215
4.8999999999999976e-08,0.30302762217,0.009642587837664973,0.9006396169100823,0.29800249659,-0.003054020072329966,-0.2975780145286032,-0.01268753337,0.006726779112389999,0.11727005541660339
4.9999999999999945e-08,0.30302762217,0.009642587837664973,0.9006396169100823,0.30679646635,0.005739949687670054,0.5592899820883641,-0.01025602095,0.009158291532389999,0.15965937599268054
5.0999999999999914e-08,0.30428390356,0.010898869227664976,1.017979153647438,0.30302762217,0.0019711055076700457,0.19206084095948706,-0.04105517827,-0.02164086578761,-0.37727201797096344
5.199999999999999e-08,0.30554018496,0.012155150627664979,1.1353186913188165,0.30302762217,0.0019711055076700457,0.19206084095948706,-0.10427450118,-0.08486018869761,-1.4793943527746363
