pc_time_s,idx,teensy_t_us,raw1,raw2,raw3,raw4,raw5,idx_jump,missing_frames
0.000069,12633,15933001,71,95,54,68,64,0,0
0.000419,12634,15934001,70,88,55,66,65,1,0
0.000614,12635,15935001,71,89,54,68,65,1,0
0.000807,12636,15936001,66,90,51,68,60,1,0
0.000997,14250,17550001,71,87,54,66,65,1614,1613
0.001870,14251,17551001,70,99,53,68,63,1,0
0.002097,14252,17552001,69,89,53,67,66,1,0
0.002565,14253,17553001,68,89,53,66,64,1,0
0.003566,14254,17554001,72,87,57,68,66,1,0
0.004556,14255,17555001,67,89,51,68,64,1,0
0.005574,14256,17556001,70,89,54,66,67,1,0
0.006561,14257,17557001,71,89,53,66,62,1,0
0.007528,14258,17558001,71,88,54,67,65,1,0
0.008973,14259,17559001,71,87,53,66,66,1,0
0.009561,14260,17560001,67,88,53,66,65,1,0
0.010571,14261,17561001,72,87,55,66,64,1,0
0.011554,14262,17562001,70,86,55,68,64,1,0
0.012562,14263,17563001,70,87,53,66,66,1,0
0.013567,14264,17564001,68,89,55,67,65,1,0
0.014533,14265,17565001,71,88,55,67,65,1,0
0.015610,14266,17566001,69,86,54,66,62,1,0
0.016564,14267,17567001,73,89,54,67,63,1,0
0.017552,14268,17568001,67,86,54,68,65,1,0
0.018574,14269,17569001,68,89,53,68,61,1,0
0.019547,14270,17570001,73,88,55,66,64,1,0
0.020569,14271,17571001,69,87,52,66,62,1,0
0.021566,14272,17572001,71,89,57,66,66,1,0
0.022561,14273,17573001,70,87,54,68,65,1,0
0.023529,14274,17574001,71,88,55,68,66,1,0
0.024520,14275,17575001,68,101,57,68,65,1,0
0.025566,14276,17576001,70,88,54,66,69,1,0
0.026558,14277,17577001,74,90,53,64,63,1,0
0.027531,14278,17578001,70,87,54,65,65,1,0
0.028557,14279,17579001,82,87,53,66,65,1,0
0.029556,14280,17580001,68,88,52,66,61,1,0
0.030567,14281,17581001,70,87,54,66,69,1,0
0.031530,14282,17582001,70,87,54,68,65,1,0
0.032526,14283,17583001,70,87,56,66,64,1,0
0.033561,14284,17584001,69,88,53,65,65,1,0
0.034601,14285,17585001,72,87,55,65,65,1,0
0.035554,14286,17586001,68,87,53,68,64,1,0
0.036645,14287,17587001,72,88,54,68,67,1,0
0.037570,14288,17588001,67,83,44,68,65,1,0
0.038605,14289,17589001,70,88,55,68,65,1,0
0.039565,14290,17590001,66,87,54,68,65,1,0
0.040632,14291,17591001,69,89,55,68,65,1,0
0.041560,14292,17592001,68,87,53,68,65,1,0
0.042539,14293,17593001,70,79,56,68,65,1,0
0.043569,14294,17594001,70,86,54,66,65,1,0
0.044559,14295,17595001,69,89,53,67,62,1,0
0.045563,14296,17596001,70,87,54,67,62,1,0
0.046534,14297,17597001,72,89,52,68,63,1,0
0.047531,14298,17598001,70,88,52,64,66,1,0
0.048529,14299,17599001,70,87,54,66,65,1,0
0.049520,14300,17600001,66,87,52,68,61,1,0
0.050570,14301,17601001,71,87,52,65,64,1,0
0.051564,14302,17602001,70,87,52,66,65,1,0
0.052578,14303,17603001,71,87,53,66,65,1,0
0.053564,14304,17604001,67,87,56,68,65,1,0
0.054563,14305,17605001,70,88,55,66,65,1,0
0.055579,14306,17606001,68,87,54,68,64,1,0
0.056528,14307,17607001,71,87,54,66,67,1,0
0.057523,14308,17608001,70,89,53,65,64,1,0
