pc_time_s,idx,teensy_t_us,raw1,raw2,raw3,raw4,raw5,idx_jump,missing_frames
0.129118,131,131000,11,15,5,10,6,1,0
0.130102,132,132000,12,19,4,10,5,1,0
0.131096,133,133000,12,14,7,10,9,1,0
0.132099,134,134000,10,13,4,10,8,1,0
0.133095,135,135000,12,13,5,10,8,1,0
0.134095,136,136000,13,15,3,11,8,1,0
0.135091,137,137000,9,13,7,11,6,1,0
0.136066,138,138000,11,14,6,13,8,1,0
0.137437,139,139000,11,14,7,12,8,1,0
0.138110,140,140000,9,13,5,10,4,1,0
0.139086,141,141000,11,14,7,10,12,1,0
0.140118,142,142000,12,14,7,10,8,1,0
0.141103,143,143000,12,17,7,11,8,1,0
0.142099,144,144000,11,13,6,10,6,1,0
0.143442,145,145000,9,14,6,11,8,1,0
0.144089,146,146000,9,9,7,10,8,1,0
0.145054,147,147000,14,14,6,10,10,1,0
0.146102,148,148000,12,14,3,11,6,1,0
0.147086,149,149000,12,15,3,9,7,1,0
0.148090,150,150000,11,14,7,10,10,1,0
0.149069,151,151000,10,17,5,10,8,1,0
0.150063,152,152000,10,17,5,10,6,1,0
0.151083,153,153000,13,13,6,10,8,1,0
0.152091,154,154000,9,16,5,10,8,1,0
0.153058,155,155000,10,14,6,11,6,1,0
0.154090,156,156000,11,15,5,10,8,1,0
0.155079,157,157000,9,15,5,10,6,1,0
0.156102,158,158000,10,18,7,12,7,1,0
0.157096,159,159000,11,15,7,10,6,1,0
0.158070,160,160000,12,16,6,12,6,1,0
0.159088,161,161000,10,11,6,10,10,1,0
0.160093,162,162000,13,15,6,10,7,1,0
0.161063,163,163000,9,15,5,11,9,1,0
0.162049,164,164000,11,13,7,10,6,1,0
0.163094,165,165000,12,15,3,11,9,1,0
0.164087,166,166000,12,14,7,12,7,1,0
0.165096,167,167000,12,13,7,10,9,1,0
0.166066,168,168000,15,13,7,10,5,1,0
0.167058,169,169000,10,14,5,10,8,1,0
0.168088,170,170000,10,12,7,8,8,1,0
0.169102,171,171000,11,23,7,14,5,1,0
0.170072,172,172000,7,14,5,10,9,1,0
0.171222,173,173000,13,13,7,10,7,1,0
0.172097,174,174000,10,13,8,10,6,1,0
0.173106,175,175000,11,14,7,8,6,1,0
0.174086,176,176000,10,14,6,12,6,1,0
0.175069,177,177000,8,14,5,11,8,1,0
0.176090,178,178000,9,17,5,11,8,1,0
0.177088,179,179000,12,13,7,9,8,1,0
0.178062,180,180000,10,15,5,12,6,1,0
0.179086,181,181000,11,14,4,10,10,1,0
0.180095,182,182000,11,16,6,9,8,1,0
0.181063,183,183000,11,16,7,11,8,1,0
0.182063,184,184000,12,14,7,11,6,1,0
0.183061,185,185000,11,13,7,11,8,1,0
0.184449,186,186000,13,15,6,11,7,1,0
0.185089,187,187000,13,14,7,8,7,1,0
0.186060,188,188000,14,13,9,10,8,1,0
0.187452,189,189000,10,13,5,10,8,1,0
0.188195,190,190000,10,14,6,10,10,1,0
0.189103,191,191000,12,13,5,11,4,1,0
0.190069,192,192000,10,14,5,10,7,1,0
0.191063,193,193000,11,14,6,9,21,1,0
0.192065,194,194000,9,20,7,10,6,1,0
0.193084,195,195000,10,14,6,0,8,1,0
0.194090,196,196000,11,13,8,10,6,1,0
0.195095,197,197000,10,18,6,10,5,1,0
0.196099,198,198000,23,13,7,12,7,1,0
0.197103,199,199000,14,14,5,9,0,1,0
0.198090,200,200000,11,14,3,12,6,1,0
0.199067,201,201000,11,13,10,10,10,1,0
0.200073,202,202000,13,15,5,13,6,1,0
0.201089,203,203000,11,27,7,9,9,1,0
0.202092,204,204000,11,13,7,10,6,1,0
0.203192,205,205000,13,14,5,11,8,1,0
0.204095,206,206000,11,14,7,8,5,1,0
0.205090,207,207000,14,13,10,10,8,1,0
0.206100,208,208000,12,14,7,11,8,1,0
0.207068,209,209000,22,17,5,12,11,1,0
0.208072,210,210000,14,13,8,10,10,1,0
0.209099,211,211000,12,16,5,12,5,1,0
0.210087,212,212000,11,13,5,9,9,1,0
0.211058,213,213000,11,16,9,9,8,1,0
0.212048,214,214000,10,13,5,10,7,1,0
0.213092,215,215000,11,14,5,13,7,1,0
0.214100,216,216000,12,13,7,10,9,1,0
0.215104,217,217000,9,14,5,10,8,1,0
0.216091,218,218000,12,17,9,10,9,1,0
0.217107,219,219000,10,11,3,23,4,1,0
0.218110,220,220000,10,17,5,17,9,1,0
0.219124,221,221000,15,17,6,10,10,1,0
0.220093,222,222000,12,16,5,12,6,1,0
0.221107,223,223000,11,14,6,10,6,1,0
0.222112,224,224000,10,14,7,9,8,1,0
0.223087,225,225000,18,14,6,10,4,1,0
0.224135,226,226000,11,16,6,10,5,1,0
0.225099,227,227000,13,13,7,10,10,1,0
0.226201,228,228000,11,13,5,11,10,1,0
0.227106,229,229000,11,14,7,10,10,1,0
0.228078,230,230000,12,14,7,9,8,1,0
0.229137,231,231000,10,5,4,11,8,1,0
0.230220,232,232000,11,13,7,11,8,1,0
0.231115,233,233000,11,14,6,10,6,1,0
0.232086,234,234000,11,13,5,9,9,1,0
0.233089,235,235000,11,14,6,12,7,1,0
0.234172,236,236000,13,13,5,7,10,1,0
0.235103,237,237000,12,14,5,9,6,1,0
0.236065,238,238000,9,14,7,9,5,1,0
0.237069,239,239000,13,13,5,12,8,1,0
0.238214,240,240000,10,10,3,12,9,1,0
0.239097,241,241000,11,13,6,10,14,1,0
0.240119,242,242000,11,13,6,12,6,1,0
0.241098,243,243000,12,13,9,10,8,1,0
0.242088,244,244000,9,15,6,11,8,1,0
0.243090,245,245000,10,15,6,10,14,1,0
0.244102,246,246000,13,13,6,12,6,1,0
0.245096,247,247000,14,14,7,9,10,1,0
0.246287,248,248000,10,16,6,9,6,1,0
0.247191,249,249000,12,15,7,12,8,1,0
0.248097,250,250000,10,13,7,8,7,1,0
0.249070,251,251000,11,15,5,12,6,1,0
0.250093,252,252000,12,14,5,10,8,1,0
0.251105,253,253000,10,14,5,9,6,1,0
0.252078,254,254000,11,15,7,8,8,1,0
0.253104,255,255000,10,15,7,10,6,1,0
0.254101,256,256000,14,15,7,10,8,1,0
0.255107,257,257000,7,12,4,10,6,1,0
0.256097,258,258000,9,13,3,12,6,1,0
0.257073,259,259000,11,13,6,9,6,1,0
0.258062,260,260000,13,13,7,11,6,1,0
0.259469,261,261000,11,14,6,7,10,1,0
0.260133,262,262000,8,14,4,12,9,1,0
0.261062,263,263000,11,14,7,11,8,1,0
0.262060,264,264000,10,13,6,8,8,1,0
0.263084,265,265000,11,13,7,11,8,1,0
0.264101,266,266000,12,15,7,13,9,1,0
0.265122,267,267000,12,14,8,12,9,1,0
0.266082,268,268000,8,13,6,11,9,1,0
0.267091,269,269000,14,13,5,12,8,1,0
0.268093,270,270000,12,13,8,12,11,1,0
0.269075,271,271000,10,13,4,12,6,1,0
0.270066,272,272000,12,12,6,10,8,1,0
0.271184,273,273000,11,14,5,9,5,1,0
0.272104,274,274000,10,15,6,11,5,1,0
0.273102,275,275000,11,11,6,11,7,1,0
0.274095,276,276000,12,15,7,10,7,1,0
0.275480,277,277000,10,15,6,10,5,1,0
0.276131,278,278000,12,16,5,10,6,1,0
0.277099,279,279000,13,14,8,8,10,1,0
0.278079,280,280000,10,14,7,12,5,1,0
0.279464,281,281000,12,14,7,10,8,1,0
0.280295,282,282000,10,14,6,10,4,1,0
0.281110,283,283000,12,14,6,10,6,1,0
0.282111,284,284000,11,14,7,11,8,1,0
0.283103,285,285000,11,15,5,10,8,1,0
0.284103,286,286000,11,15,7,11,5,1,0
