 ,Area(zone c),Mean(zone c),Min(zone c),Max(zone c)
158,115080,30343.141,5534,61305
159,115080,30607.154,2980,59176
160,115080,39307.609,4257,65535
161,115080,44539.836,3831,65535
162,115080,44752.078,5960,65535
163,115080,44472.676,0,65535
164,115080,44838.020,5108,65535
165,115080,44653.805,5534,65535
166,115080,44797.668,4257,65535
167,115080,44667.531,3831,65535
168,115080,44577.660,5108,65535
169,115080,44819.660,6385,65535
170,115080,44584.086,4257,65535
171,115080,43390.699,0,65535
172,115080,30292.783,0,61731
173,115080,30733.441,3831,56196
174,115080,30728.760,2128,57899
175,115080,30514.365,3405,57047
176,115080,30758.105,1702,52790
177,115080,30467.707,5108,63859
178,115080,30669.393,6385,51087
179,115080,30415.930,3831,60453
180,115080,30575.336,6385,57899
181,115080,30645.686,4257,62582
182,115080,30270.842,6385,52364
183,115080,39613.125,6385,62156
184,115080,44597.762,0,65535
185,115080,44619.309,2554,65535
186,115080,44561.258,425,65535
187,115080,44681.316,4257,65535
188,115080,44732.793,5108,65535
189,115080,44533.105,4683,65535
190,115080,44811.738,5960,65535
191,115080,44671.801,5534,65535
192,115080,44819.707,0,65535
193,115080,44639.797,4683,65535
194,115080,42957.043,0,65535
195,115080,30565.121,2554,56622
196,115080,30509.480,5960,62582
197,115080,30761.764,1277,59176
198,115080,30526.408,3405,65535
199,115080,30709.158,7237,59602
200,115080,30504.125,5960,64711
201,115080,30354.492,2980,55345
202,115080,30634.279,3405,54067
203,115080,30308.602,5108,57899
204,115080,30571.902,6811,56622
205,115080,30480.162,3831,55345
206,115080,39797.613,2980,65535
207,115080,44541.797,3405,65535
208,115080,44363.906,0,65535
209,115080,44588.348,5534,65535
210,115080,44340.492,2980,65535
211,115080,44592.488,5108,65535
212,115080,44477.086,0,65535
213,115080,44644.047,5534,65535
214,115080,44720.883,6385,65535
215,115080,44502.430,4257,65535
216,115080,44849.398,5534,65535
217,115080,42661.363,5534,65535
218,115080,30445.377,4257,59602
219,115080,30599.768,1702,61731
220,115080,30745.816,2128,53216
221,115080,30760.965,1277,63008
222,115080,30487.240,6811,62582
223,115080,30714.611,3831,54493
224,115080,30537.334,0,62582
225,115080,30711.439,6811,58750
226,115080,30490.289,5534,58750
227,115080,30695.342,0,53642
228,115080,30709.965,5534,63859
229,115080,39930.918,4683,64285
230,115080,44961.488,6385,65535
231,115080,44636.406,6385,65535
232,115080,44789.273,5960,65535
233,115080,44641.793,5534,65535
234,115080,44613.996,5534,65535
235,115080,44787.902,851,65535
236,115080,44598.492,6385,65535
237,115080,44803.551,6385,65535
238,115080,44603.535,3405,65535
239,115080,44770.141,3405,65535
240,115080,42475.668,6811,65535
241,115080,30108.102,1277,62582
242,115080,30704.529,2554,57899
243,115080,30436.627,5960,60028
244,115080,30694.311,5108,55345
245,115080,30496.402,4683,60879
246,115080,30685.736,0,54919
247,115080,30552.688,5960,62156
248,115080,30345.727,5960,62156
249,115080,30712.506,6385,59602
250,115080,30429.365,0,58750
251,115080,30696.750,6811,54919
252,115080,40359.203,5960,65535
253,115080,45019.094,1702,65535
254,115080,44865.504,4257,65535
