time_s,top_V,mid_V,top_centered_V,mid_centered_V,top_normalized,mid_normalized
0.0,0.28292711987,0.30428390356,-0.010457914462335016,0.003227386897670048,-0.9767929764917398,0.3144705543443189
9.999999999998634e-10,0.28041455708,0.31182159192,-0.012970477252335022,0.01076507525767001,-1.211472050900474,1.0489288366020675
1.9999999999999385e-09,0.28543968266,0.30554018496,-0.00794535167233501,0.0044836682976700515,-0.7421139020830058,0.4368802687035322
3.0000000000000136e-09,0.27287686872,0.30428390356,-0.02050816561233504,0.003227386897670048,-1.9155092731926535,0.3144705543443189
3.999999999999877e-09,0.28543968266,0.30051505938,-0.00794535167233501,-0.0005414572823299602,-0.7421139020830058,-0.0527585867845581
4.999999999999952e-09,0.28669596405,0.29172108963,-0.006689070282335063,-0.00933542703232998,-0.6247743653456552,-0.909626582427144
6.000000000000027e-09,0.28418340127,0.29548993381,-0.009201633062335013,-0.005566582852329971,-0.8594534388203614,-0.542397441298267
6.999999999999891e-09,0.28920852684,0.29172108963,-0.004176507492335058,-0.00933542703232998,-0.39009529093692114,-0.909626582427144
7.999999999999966e-09,0.28920852684,0.28920852684,-0.004176507492335058,-0.011847989822329985,-0.39009529093692114,-1.154446010171189
9.000000000000041e-09,0.29046480823,0.29172108963,-0.002920226102335055,-0.00933542703232998,-0.2727557541995655,-0.909626582427144
9.999999999999904e-09,0.28418340127,0.28041455708,-0.009201633062335013,-0.02064195958232995,-0.8594534388203614,-2.011314006788151
1.099999999999998e-08,0.2967462152,0.28669596405,0.003361180867664959,-0.014360552612329991,0.31394193135525844,-1.3992654379152343
1.2000000000000055e-08,0.28669596405,0.28795224545,-0.006689070282335063,-0.013104271212329988,-0.6247743653456552,-1.276855723556021
1.2999999999999918e-08,0.29800249659,0.29925877799,0.0046174622576649615,-0.0017977386723299627,0.4312814680926141,-0.17516830016938997
1.3999999999999993e-08,0.29925877799,0.30051505938,0.005873743657664965,-0.0005414572823299602,0.5486210057639925,-0.0527585867845581
1.4999999999999856e-08,0.29297737102,0.29046480823,-0.00040766331233504927,-0.010591708432329983,-0.03807667979083135,-1.0320362967863572
1.599999999999993e-08,0.3155904361,0.29800249659,0.022205401767664945,-0.003054020072329966,2.074034987085702,-0.2975780145286032
1.7000000000000007e-08,0.3155904361,0.28292711987,0.022205401767664945,-0.018129396792329944,2.074034987085702,-1.7664945790441058
1.799999999999987e-08,0.30679646635,0.28167083848,0.013411432017664981,-0.019385678182329946,1.2526582280561722,-1.8889042924289376
1.8999999999999945e-08,0.31433415471,0.28418340127,0.020949120377664943,-0.01687311539232994,1.9566954503483465,-1.6440848646848927
2.000000000000002e-08,0.28795224545,0.29046480823,-0.00543278888233506,-0.010591708432329983,-0.5074348276742768,-1.0320362967863572
2.0999999999999884e-08,0.29046480823,0.30554018496,-0.002920226102335055,0.0044836682976700515,-0.2727557541995655,0.4368802687035322
2.199999999999996e-08,0.29925877799,0.31056531053,0.005873743657664965,0.009508793867670062,0.5486210057639925,0.9265191232172411
2.3000000000000034e-08,0.29046480823,0.30428390356,-0.002920226102335055,0.003227386897670048,-0.2727557541995655,0.3144705543443189
2.3999999999999897e-08,0.29548993381,0.29297737102,0.0021048994776649566,-0.008079145642329977,0.19660239461790277,-0.7872168690423121
2.4999999999999972e-08,0.28795224545,0.28418340127,-0.00543278888233506,-0.01687311539232994,-0.5074348276742768,-1.6440848646848927
2.6000000000000048e-08,0.29423365241,0.28418340127,0.0008486180776649532,-0.01687311539232994,0.07926285694652431,-1.6440848646848927
2.699999999999991e-08,0.29172108963,0.2967462152,-0.0016639447023350518,-0.0043103014623299685,-0.15541621652818702,-0.41998772791343514
2.7999999999999986e-08,0.29046480823,0.30051505938,-0.002920226102335055,-0.0005414572823299602,-0.2727557541995655,-0.0527585867845581
2.899999999999985e-08,0.29423365241,0.31307787332,0.0008486180776649532,0.012021356657670013,0.07926285694652431,1.1713385509612808
2.9999999999999925e-08,0.29925877799,0.32187184307,0.005873743657664965,0.02081532640767003,0.5486210057639925,2.0282065466038666
3.1e-08,0.29548993381,0.3168467175,0.0021048994776649566,0.01579020083767002,0.19660239461790277,1.5385676920901579
3.199999999999986e-08,0.29046480823,0.2967462152,-0.002920226102335055,-0.0043103014623299685,-0.2727557541995655,-0.41998772791343514
3.299999999999994e-08,0.28543968266,0.28543968266,-0.00794535167233501,-0.015616834002329938,-0.7421139020830058,-1.5216751513000608
3.400000000000001e-08,0.2766457129,0.28795224545,-0.01673932143233503,-0.013104271212329988,-1.5634906620465638,-1.276855723556021
3.4999999999999877e-08,0.28669596405,0.29046480823,-0.006689070282335063,-0.010591708432329983,-0.6247743653456552,-1.0320362967863572
3.599999999999995e-08,0.28920852684,0.29548993381,-0.004176507492335058,-0.005566582852329971,-0.39009529093692114,-0.542397441298267
3.700000000000003e-08,0.28167083848,0.28795224545,-0.011714195852335019,-0.013104271212329988,-1.0941325132290955,-1.276855723556021
3.799999999999989e-08,0.26785174315,0.28292711987,-0.02553329118233505,-0.018129396792329944,-2.384867421076099,-1.7664945790441058
3.8999999999999965e-08,0.26157033618,0.28418340127,-0.031814698152335064,-0.01687311539232994,-2.9715651066309228,-1.6440848646848927
4.000000000000004e-08,0.27036430594,0.28669596405,-0.023020728392335044,-0.014360552612329991,-2.150188346667365,-1.3992654379152343
4.0999999999999904e-08,0.27413315012,0.28920852684,-0.019251884212335035,-0.011847989822329985,-1.7981697355212751,-1.154446010171189
4.199999999999998e-08,0.29046480823,0.2967462152,-0.002920226102335055,-0.0043103014623299685,-0.2727557541995655,-0.41998772791343514
4.3000000000000054e-08,0.30554018496,0.30428390356,0.012155150627664979,0.003227386897670048,1.1353186913188165,0.3144705543443189
4.399999999999992e-08,0.30177134078,0.30679646635,0.00838630644766497,0.005739949687670054,0.7833000801727267,0.5592899820883641
4.499999999999999e-08,0.29297737102,0.29800249659,-0.00040766331233504927,-0.003054020072329966,-0.03807667979083135,-0.2975780145286032
4.5999999999999856e-08,0.29297737102,0.29548993381,-0.00040766331233504927,-0.005566582852329971,-0.03807667979083135,-0.542397441298267
4.699999999999993e-08,0.27915827569,0.30177134078,-0.014226758642335025,0.0007148241176700432,-1.3288115876378297,0.06965112757465518
4.8000000000000006e-08,0.29046480823,0.30679646635,-0.002920226102335055,0.005739949687670054,-0.2727557541995655,0.5592899820883641
4.8999999999999976e-08,0.30302762217,0.29800249659,0.009642587837664973,-0.003054020072329966,0.9006396169100823,-0.2975780145286032
4.9999999999999945e-08,0.30302762217,0.30679646635,0.009642587837664973,0.005739949687670054,0.9006396169100823,0.5592899820883641
5.0999999999999914e-08,0.30428390356,0.30302762217,0.010898869227664976,0.0019711055076700457,1.017979153647438,0.19206084095948706
5.199999999999999e-08,0.30554018496,0.30302762217,0.012155150627664979,0.0019711055076700457,1.1353186913188165,0.19206084095948706
5.299999999999996e-08,0.29548993381,0.30302762217,0.0021048994776649566,0.0019711055076700457,0.19660239461790277,0.19206084095948706
5.399999999999993e-08,0.30177134078,0.31307787332,0.00838630644766497,0.012021356657670013,0.7833000801727267,1.1713385509612808
5.5e-08,0.29172108963,0.31810299889,-0.0016639447023350518,0.017046482227670023,-0.15541621652818702,1.6609774054749897
5.599999999999997e-08,0.28543968266,0.32061556168,-0.00794535167233501,0.01955904501767003,-0.7421139020830058,1.905796833219035
5.699999999999994e-08,0.28669596405,0.30930902914,-0.006689070282335063,0.00825251247767006,-0.6247743653456552,0.8041094098324092
5.799999999999991e-08,0.29046480823,0.29172108963,-0.002920226102335055,-0.00933542703232998,-0.2727557541995655,-0.909626582427144
5.8999999999999986e-08,0.29925877799,0.2967462152,0.005873743657664965,-0.0043103014623299685,0.5486210057639925,-0.41998772791343514
5.999999999999995e-08,0.2967462152,0.29800249659,0.003361180867664959,-0.003054020072329966,0.31394193135525844,-0.2975780145286032
6.099999999999992e-08,0.29925877799,0.31056531053,0.005873743657664965,0.009508793867670062,0.5486210057639925,0.9265191232172411
6.2e-08,0.30302762217,0.31182159192,0.009642587837664973,0.01076507525767001,0.9006396169100823,1.0489288366020675
6.299999999999997e-08,0.28920852684,0.32061556168,-0.004176507492335058,0.01955904501767003,-0.39009529093692114,1.905796833219035
6.399999999999994e-08,0.28795224545,0.30930902914,-0.00543278888233506,0.00825251247767006,-0.5074348276742768,0.8041094098324092
6.499999999999991e-08,0.28543968266,0.31182159192,-0.00794535167233501,0.01076507525767001,-0.7421139020830058,1.0489288366020675
6.599999999999998e-08,0.27915827569,0.30805274774,-0.014226758642335025,0.0069962310776700565,-1.3288115876378297,0.681699695473196
6.699999999999995e-08,0.28795224545,0.30177134078,-0.00543278888233506,0.0007148241176700432,-0.5074348276742768,0.06965112757465518
6.799999999999992e-08,0.29800249659,0.29800249659,0.0046174622576649615,-0.003054020072329966,0.4312814680926141,-0.2975780145286032
6.9e-08,0.29423365241,0.29548993381,0.0008486180776649532,-0.005566582852329971,0.07926285694652431,-0.542397441298267
6.999999999999997e-08,0.29297737102,0.29548993381,-0.00040766331233504927,-0.005566582852329971,-0.03807667979083135,-0.542397441298267
7.099999999999993e-08,0.30679646635,0.30177134078,0.013411432017664981,0.0007148241176700432,1.2526582280561722,0.06965112757465518
7.19999999999999e-08,0.31182159192,0.29800249659,0.018436557587664937,-0.003054020072329966,1.7220163759396123,-0.2975780145286032
7.299999999999998e-08,0.31307787332,0.2967462152,0.01969283898766494,-0.0043103014623299685,1.839355913610991,-0.41998772791343514
7.399999999999995e-08,0.31056531053,0.30930902914,0.01718027619766499,0.00825251247767006,1.604676839202262,0.8041094098324092
7.499999999999992e-08,0.2967462152,0.30302762217,0.003361180867664959,0.0019711055076700457,0.31394193135525844,0.19206084095948706
7.599999999999999e-08,0.28167083848,0.29172108963,-0.011714195852335019,-0.00933542703232998,-1.0941325132290955,-0.909626582427144
7.699999999999996e-08,0.2766457129,0.30302762217,-0.01673932143233503,0.0019711055076700457,-1.5634906620465638,0.19206084095948706
7.799999999999993e-08,0.28543968266,0.30679646635,-0.00794535167233501,0.005739949687670054,-0.7421139020830058,0.5592899820883641
