time,amplitude
-1.638400000000000134e-01,7.599999999999999645e+00
-1.637999951165914070e-01,1.200000000000000178e+00
-1.637599902331827728e-01,-8.000000000000000000e+00
-1.637199853497741664e-01,2.000000000000000444e+00
-1.636799804663655322e-01,7.999999999999998224e-01
-1.636399755829569258e-01,7.999999999999998224e-01
-1.635999706995482916e-01,7.999999999999998224e-01
-1.635599658161396852e-01,7.999999999999998224e-01
-1.635199609327310510e-01,7.999999999999998224e-01
-1.634799560493224446e-01,7.999999999999998224e-01
-1.634399511659138104e-01,7.999999999999998224e-01
-1.633999462825052040e-01,7.999999999999998224e-01
-1.633599413990965699e-01,7.999999999999998224e-01
-1.633199365156879634e-01,7.999999999999998224e-01
-1.632799316322793570e-01,7.999999999999998224e-01
-1.632399267488707229e-01,7.999999999999998224e-01
-1.631999218654621164e-01,7.999999999999998224e-01
-1.631599169820534823e-01,7.999999999999998224e-01
-1.631199120986448758e-01,7.999999999999998224e-01
-1.630799072152362417e-01,7.999999999999998224e-01
-1.630399023318276353e-01,7.999999999999998224e-01
-1.629998974484190011e-01,7.999999999999998224e-01
-1.629598925650103947e-01,7.999999999999998224e-01
-1.629198876816017605e-01,7.999999999999998224e-01
-1.628798827981931541e-01,7.999999999999998224e-01
-1.628398779147845199e-01,7.200000000000001954e-01
-1.627998730313759135e-01,7.999999999999998224e-01
-1.627598681479673071e-01,7.999999999999998224e-01
-1.627198632645586729e-01,7.999999999999998224e-01
-1.626798583811500665e-01,7.999999999999998224e-01
-1.626398534977414323e-01,7.999999999999998224e-01
-1.625998486143328259e-01,7.999999999999998224e-01
-1.625598437309241917e-01,7.999999999999998224e-01
-1.625198388475155853e-01,7.999999999999998224e-01
-1.624798339641069511e-01,7.999999999999998224e-01
-1.624398290806983447e-01,7.999999999999998224e-01
-1.623998241972897105e-01,7.999999999999998224e-01
-1.623598193138811041e-01,7.999999999999998224e-01
-1.623198144304724699e-01,7.999999999999998224e-01
-1.622798095470638635e-01,7.999999999999998224e-01
-1.622398046636552571e-01,7.999999999999998224e-01
-1.621997997802466229e-01,7.999999999999998224e-01
-1.621597948968380165e-01,7.999999999999998224e-01
-1.621197900134293823e-01,7.999999999999998224e-01
-1.620797851300207759e-01,7.999999999999998224e-01
-1.620397802466121417e-01,7.999999999999998224e-01
-1.619997753632035353e-01,7.999999999999998224e-01
-1.619597704797949012e-01,7.999999999999998224e-01
-1.619197655963862947e-01,7.999999999999998224e-01
