time,amplitude
-1.638399999999999926e-02,7.599999999999999645e+00
-1.637999951165913792e-02,4.720000000000000639e+00
-1.637599902331827659e-02,-1.680000000000000160e+00
-1.637199853497741178e-02,1.840000000000000302e+00
-1.636799804663655045e-02,7.200000000000001954e-01
-1.636399755829568911e-02,7.200000000000001954e-01
-1.635999706995482778e-02,7.200000000000001954e-01
-1.635599658161396644e-02,7.200000000000001954e-01
-1.635199609327310510e-02,7.200000000000001954e-01
-1.634799560493224030e-02,7.200000000000001954e-01
-1.634399511659137896e-02,7.200000000000001954e-01
-1.633999462825051763e-02,7.200000000000001954e-01
-1.633599413990965629e-02,7.200000000000001954e-01
-1.633199365156879496e-02,7.200000000000001954e-01
-1.632799316322793362e-02,7.200000000000001954e-01
-1.632399267488706882e-02,7.200000000000001954e-01
-1.631999218654620748e-02,7.200000000000001954e-01
-1.631599169820534614e-02,7.200000000000001954e-01
-1.631199120986448481e-02,7.200000000000001954e-01
-1.630799072152362347e-02,7.200000000000001954e-01
-1.630399023318276214e-02,7.200000000000001954e-01
-1.629998974484189733e-02,7.200000000000001954e-01
-1.629598925650103600e-02,7.200000000000001954e-01
-1.629198876816017466e-02,7.200000000000001954e-01
-1.628798827981931333e-02,7.200000000000001954e-01
-1.628398779147845199e-02,7.200000000000001954e-01
-1.627998730313759065e-02,7.999999999999998224e-01
-1.627598681479672585e-02,7.200000000000001954e-01
-1.627198632645586451e-02,7.200000000000001954e-01
-1.626798583811500318e-02,7.200000000000001954e-01
-1.626398534977414184e-02,7.200000000000001954e-01
-1.625998486143328051e-02,7.999999999999998224e-01
-1.625598437309241917e-02,7.200000000000001954e-01
-1.625198388475155437e-02,7.200000000000001954e-01
-1.624798339641069303e-02,7.999999999999998224e-01
-1.624398290806983169e-02,7.200000000000001954e-01
-1.623998241972897036e-02,7.200000000000001954e-01
-1.623598193138810902e-02,7.999999999999998224e-01
-1.623198144304724769e-02,7.200000000000001954e-01
-1.622798095470638288e-02,7.200000000000001954e-01
-1.622398046636552155e-02,7.200000000000001954e-01
-1.621997997802466021e-02,7.200000000000001954e-01
-1.621597948968379888e-02,7.200000000000001954e-01
-1.621197900134293754e-02,7.200000000000001954e-01
-1.620797851300207620e-02,7.999999999999998224e-01
-1.620397802466121140e-02,7.999999999999998224e-01
-1.619997753632035006e-02,7.200000000000001954e-01
-1.619597704797948873e-02,7.200000000000001954e-01
-1.619197655963862739e-02,7.200000000000001954e-01
-1.618797607129776606e-02,7.200000000000001954e-01
-1.618397558295690472e-02,7.200000000000001954e-01
-1.617997509461603992e-02,7.200000000000001954e-01
