pc_time_s,idx,teensy_t_us,raw1,raw2,raw3,raw4,raw5,idx_jump,missing_frames,time_s,voltage1,voltage2,voltage3,voltage4,voltage5,voltage1_centered,voltage1_normalized,voltage2_centered,voltage2_normalized,voltage3_centered,voltage3_normalized,voltage4_centered,voltage4_normalized,voltage5_centered,voltage5_normalized
0.0,0,0,3329,3524,3522,3527,3050,0,0,0.0,2.6827106227106228,2.83985347985348,2.8382417582417583,2.8422710622710623,2.457875457875458,0.06711232967032998,0.517729658837864,0.00023192673992689095,0.07491325849249293,0.0009796849816852138,0.21307478046356357,-0.0012044395604391411,-0.29340214044701396,-0.03688916483516458,-0.29386916913412137
0.000222,1,999,3190,3527,3525,3532,3189,1,0,0.000999,2.570695970695971,2.8422710622710623,2.840659340659341,2.8463003663003663,2.56989010989011,-0.0449023223443219,-0.3463933399801359,0.0026495091575093888,0.8558019849599701,0.0033972673992677116,0.7388824150696016,0.002824864468864874,0.6881385408292977,0.0751254871794873,0.598470163173417
0.000638,2,1999,3066,3529,3527,3534,3259,1,0,0.001999,2.4707692307692306,2.843882783882784,2.8422710622710623,2.847912087912088,2.626300366300366,-0.14482906227106218,-1.117265655472456,0.004261230769230906,1.3763944692715737,0.005008989010989229,1.0894208381402615,0.004436586080586391,1.0807548133398006,0.13153574358974351,1.0478496830405215
0.002006,3,2999,2954,3529,3526,3534,3302,1,0,0.002999,2.3805128205128203,2.843882783882784,2.8414652014652013,2.847912087912088,2.6609523809523807,-0.23508547252747247,-1.8135374243042268,0.004261230769230906,1.3763944692715737,0.004203128205128248,0.9141516266048832,0.004436586080586391,1.0807548133398006,0.16618775824175813,1.323897102387458
0.002653,4,3999,3212,3524,3522,3529,3178,1,0,0.003999,2.5884249084249085,2.83985347985348,2.8382417582417583,2.843882783882784,2.561025641025641,-0.02717338461538432,-0.20962567110246785,0.00023192673992689095,0.07491325849249293,0.0009796849816852138,0.21307478046356357,0.00040728205128237605,0.09921413206348904,0.0662610183150183,0.5278533814800134
0.004118,5,4999,3349,3523,3516,3525,3037,1,0,0.004999,2.698827838827839,2.8390476190476193,2.8334065934065933,2.840659340659341,2.4473992673992675,0.08322954578754604,0.6420639032721083,-0.0005739340659336456,-0.18538298366323713,-0.003855479853479782,-0.8385404887485126,-0.0028161611721606583,-0.686018412957517,-0.047365355311355106,-0.37732536568087005
0.0046879999999999995,6,5999,3414,3520,3514,3522,2923,1,0,0.005999,2.751208791208791,2.8366300366300368,2.8317948717948718,2.8382417582417583,2.3555311355311357,0.13561049816849824,1.0461501976834022,-0.0029915164835161434,-0.9662717101307142,-0.005467201465201299,-1.1890789118191725,-0.005233743589743156,-1.2749428217233256,-0.13923348717948691,-1.1091720123215854
0.005661,7,6999,3451,3518,3512,3520,2818,1,0,0.006999,2.781025641025641,2.835018315018315,2.8301831501831503,2.8366300366300368,2.270915750915751,0.1654273479853483,1.276168549886757,-0.004603238095238105,-1.4868641944424612,-0.007078923076922816,-1.5396173348898323,-0.006845465201464673,-1.6675590942338288,-0.22384887179487167,-1.7832412921222456
0.006633,8,7999,3329,3523,3521,3527,3052,1,0,0.007999,2.6827106227106228,2.8390476190476193,2.8374358974358973,2.8422710622710623,2.4594871794871795,0.06711232967032998,0.517729658837864,-0.0005739340659336456,-0.18538298366323713,0.00017382417582423315,0.03780556892818535,-0.0012044395604391411,-0.29340214044701396,-0.03527744322344306,-0.2810297542807762
0.007669,9,8999,3189,3525,3526,3531,3189,1,0,0.008999,2.56989010989011,2.840659340659341,2.8414652014652013,2.8454945054945053,2.56989010989011,-0.04570818315018288,-0.3526100522018495,0.0010377875457878716,0.33520950064836647,0.004203128205128248,0.9141516266048832,0.0020190036630038932,0.4918304045739921,0.0751254871794873,0.598470163173417
0.008651,10,9999,3064,3527,3527,3534,3259,1,0,0.009999,2.469157509157509,2.8422710622710623,2.8422710622710623,2.847912087912088,2.626300366300366,-0.1464407838827837,-1.1296990799158797,0.0026495091575093888,0.8558019849599701,0.005008989010989229,1.0894208381402615,0.004436586080586391,1.0807548133398006,0.13153574358974351,1.0478496830405215
0.009670999999999999,11,10999,2954,3528,3528,3536,3302,1,0,0.010999,2.3805128205128203,2.8430769230769233,2.8430769230769233,2.8495238095238093,2.6609523809523807,-0.23508547252747247,-1.8135374243042268,0.0034553699633703694,1.1160982271158435,0.005814849816850209,1.2646900496756397,0.006048307692307908,1.4733710858503037,0.16618775824175813,1.323897102387458
0.010696,12,11999,3211,3524,3523,3530,3178,1,0,0.011999,2.5876190476190475,2.83985347985348,2.8390476190476193,2.844688644688645,2.561025641025641,-0.027979245421245302,-0.21584238332418143,0.00023192673992689095,0.07491325849249293,0.0017855457875461944,0.3883439919989418,0.0012131428571433567,0.29552226831879463,0.0662610183150183,0.5278533814800134
0.011642,13,12999,3350,3523,3517,3526,3040,1,0,0.012999,2.6996336996337,2.8390476190476193,2.8342124542124543,2.8414652014652013,2.44981684981685,0.08403540659340702,0.6482806154938219,-0.0005739340659336456,-0.18538298366323713,-0.003049619047618801,-0.6632712772131344,-0.0020103003663001218,-0.4897102767023196,-0.04494777289377261,-0.3580662434008506
