,Ch1,Ch2,Ch3,Ch4,Ch5
Ch1,1.0,-0.8749006023618519,-0.9217746860347913,-0.922316669402634,-0.9519297277000656
Ch2,-0.8749006023618519,1.0,0.8733921839671271,0.8676202079061675,0.9088898591904183
Ch3,-0.9217746860347913,0.8733921839671271,1.0,0.9149429754031699,0.9395337649086932
Ch4,-0.922316669402634,0.8676202079061675,0.9149429754031699,1.0,0.9349967616961092
Ch5,-0.9519297277000656,0.9088898591904183,0.9395337649086932,0.9349967616961092,1.0
