channel,estimated_sampling_rate_Hz,shared_dominant_frequency_Hz,mean_voltage_V,std_voltage_V,min_voltage_V,max_voltage_V,peak_to_peak_V,amplitude_estimate_V,ac_rms_V,phase_at_shared_freq_deg,relative_phase_to_ch1_deg
1,1000.0,125.0,2.615598293040293,0.12962813415205052,2.3700366300366302,2.78989010989011,0.41985347985347987,0.20992673992673994,0.12962165258329963,65.4643743921677,0.0
2,1000.0,125.0,2.839621553113553,0.003095937149098011,2.8245421245421247,2.8543589743589743,0.029816849816849622,0.014908424908424811,0.003095782348370441,-110.26582030639707,-175.7301946985648
3,1000.0,125.0,2.837262073260073,0.004597845787069779,2.8197069597069597,2.8543589743589743,0.03465201465201462,0.01732600732600731,0.004597615889032831,-103.87886842316352,-169.34324281533122
4,1000.0,125.0,2.8434755018315014,0.004105081028393701,2.8253479853479853,2.8591941391941393,0.03384615384615408,0.01692307692307704,0.004104875769210673,-107.28926108214355,-172.75363547431127
5,1000.0,125.0,2.4947646227106226,0.12552921064791397,2.262857142857143,2.6706227106227107,0.4077655677655678,0.2038827838827839,0.12552293403046222,-115.76008632749293,178.7755392803394
