channel,mean_V,std_V,min_V,max_V,peak_to_peak_V
top,0.3069680399667047,0.010352924045937592,0.2801130622393,0.3366457249504,0.056532662711100024
bot,-0.39247723847257043,0.009911021418666682,-0.4369221186498,-0.3634296571254,0.07349246152440003
