time_s,top_V,top_centered_V,top_normalized,bot_V,bot_centered_V,bot_normalized
0.0,0.3039824087173,-0.0029856312494047077,-0.28838531376806986,-0.3866708629066,0.005806375565970412,0.5858503700773494
1.561999999999958e-10,0.3039824087173,-0.0029856312494047077,-0.28838531376806986,-0.3879271443002,0.004550094172370456,0.45909437384533214
3.12499999999997e-10,0.3027261273237,-0.004241912643004664,-0.4097308764347748,-0.3916959884809,0.0007812499916704518,0.07882638515935651
4.686999999999994e-10,0.298957283143,-0.008010756823704668,-0.7737675644252434,-0.3935804105713,-0.0011031720987295657,-0.11130760918867776
6.250000000000006e-10,0.2977010017494,-0.00926703821730468,-0.8951131270919538,-0.3916959884809,0.0007812499916704518,0.07882638515935651
7.811999999999964e-10,0.3002135645365,-0.006754475430204687,-0.6524220017681953,-0.388555284997,0.00392195347557045,0.3957163757293207
9.374999999999976e-10,0.2951884389622,-0.011779601004504703,-1.1378042524253742,-0.3904397070874,0.0020375313851704324,0.20558238138128646
1.0937e-09,0.3052386901109,-0.001729349855804696,-0.1670397511013596,-0.3822738780291,0.010203360443470422,1.0294963568793365
1.2499999999999946e-09,0.307751252898,0.0007832129312952962,0.07565137422239884,-0.3891834256938,0.003293812778770444,0.3323383776133093
1.406199999999997e-09,0.307751252898,0.0007832129312952962,0.07565137422239884,-0.3772487524547,0.015228486017870413,1.5365203418074223
1.5624999999999983e-09,0.307751252898,0.0007832129312952962,0.07565137422239884,-0.3728517675772,0.019625470895370423,1.9801663286094093
1.7187000000000007e-09,0.3064949715044,-0.00047306846230465993,-0.04569418844430607,-0.3684547826997,0.024022455772870432,2.4238123154113964
1.8749999999999953e-09,0.3027261273237,-0.004241912643004664,-0.4097308764347748,-0.3678266420029,0.02465059646967044,2.4871903135274076
2.0311999999999977e-09,0.3039824087173,-0.0029856312494047077,-0.28838531376806986,-0.3634296571254,0.029047581347170448,2.930836300329395
2.187499999999999e-09,0.3052386901109,-0.001729349855804696,-0.1670397511013596,-0.3640577978222,0.028419440650370442,2.8674583022133833
2.3436999999999947e-09,0.3039824087173,-0.0029856312494047077,-0.28838531376806986,-0.3709673454869,0.02150989298567041,2.1703003229473508
2.499999999999996e-09,0.3014698459301,-0.0054981940366046755,-0.531076439101485,-0.3791331745451,0.013344063927470451,1.3463863474593936
2.6561999999999983e-09,0.3014698459301,-0.0054981940366046755,-0.531076439101485,-0.3797613152419,0.012715923230670445,1.2830083493433821
2.8124999999999995e-09,0.3064949715044,-0.00047306846230465993,-0.04569418844430607,-0.3803894559387,0.01208778253387044,1.2196303512273707
2.9686999999999953e-09,0.3090075342916,0.002039494324895308,0.1969969368891091,-0.3847864408163,0.007690797656270454,0.7759843644152964
3.1249999999999965e-09,0.3052386901109,-0.001729349855804696,-0.1670397511013596,-0.3778768931516,0.014600345320970431,1.4731423436813236
3.281199999999999e-09,0.3014698459301,-0.0054981940366046755,-0.531076439101485,-0.388555284997,0.00392195347557045,0.3957163757293207
3.4375e-09,0.2964447203558,-0.010523319610904691,-1.016458689758664,-0.3866708629066,0.005806375565970412,0.5858503700773494
3.593699999999996e-09,0.298957283143,-0.008010756823704668,-0.7737675644252434,-0.3841583001195,0.00831893835307046,0.8393623625313078
3.749999999999997e-09,0.3002135645365,-0.006754475430204687,-0.6524220017681953,-0.3866708629066,0.005806375565970412,0.5858503700773494
3.9062e-09,0.3014698459301,-0.0054981940366046755,-0.531076439101485,-0.3835301594226,0.008947079049970441,0.9027403606574065
4.062500000000001e-09,0.3090075342916,0.002039494324895308,0.1969969368891091,-0.376620611758,0.015856626714570443,1.5998983399133464
4.218699999999997e-09,0.307751252898,0.0007832129312952962,0.07565137422239884,-0.3803894559387,0.01208778253387044,1.2196303512273707
4.374999999999998e-09,0.3027261273237,-0.004241912643004664,-0.4097308764347748,-0.3803894559387,0.01208778253387044,1.2196303512273707
4.5312e-09,0.3052386901109,-0.001729349855804696,-0.1670397511013596,-0.3879271443002,0.004550094172370456,0.45909437384533214
4.687499999999995e-09,0.3127763784723,0.005808338505595312,0.5610336248795779,-0.3979773954489,-0.005500156976329551,-0.5549535960007521
4.843699999999997e-09,0.3127763784723,0.005808338505595312,0.5610336248795779,-0.4099120686879,-0.017434830215329544,-1.7591355601847778
4.9999999999999985e-09,0.3102638156852,0.0032957757184953196,0.3183424995558194,-0.4143090535654,-0.021831815092829554,-2.2027815469867646
5.156200000000001e-09,0.3115200970788,0.004552057112095331,0.43968806222252965,-0.415565334959,-0.023088096486429566,-2.3295375432187875
5.3124999999999955e-09,0.3064949715044,-0.00047306846230465993,-0.04569418844430607,-0.4180778977461,-0.025600659273529558,-2.5830495356727403
5.468699999999998e-09,0.3090075342916,0.002039494324895308,0.1969969368891091,-0.4086557872943,-0.016178548821729588,-1.6323795639527605
5.624999999999999e-09,0.3115200970788,0.004552057112095331,0.43968806222252965,-0.400489958236,-0.008012719763429543,-0.808465588454705
5.781199999999995e-09,0.3140326598659,0.0070646198991953235,0.6823791875462881,-0.3967211140552,-0.004243875582629564,-0.42819759975864197
5.937499999999996e-09,0.3127763784723,0.005808338505595312,0.5610336248795779,-0.3954648326617,-0.002987594189129583,-0.301441603536712
