time_s,ch1_raw,ch2_raw,ch1_centered,ch2_centered,ch1_normalized,ch2_normalized
0.0,-0.4866709,-0.67564071,0.16240075228999995,-0.2446237453700001,1.2981271671000245,-2.0518577399789133
5.000000000000143e-05,-0.48415834,-0.68066583,0.16491331228999995,-0.24964886537000008,1.3182109558077548,-2.0940074967440525
0.00010000000000000286,-0.49295231,-0.64674623,0.15611934228999996,-0.21572926537000003,1.2479176153971296,-1.8094963030669233
0.0001500000000000043,-0.50174628,-0.62036432,0.14732537228999998,-0.18934735537000003,1.1776242749865045,-1.588209828415613
0.00020000000000000573,-0.51054025,-0.59146985,0.13853140228999994,-0.16045288537000002,1.107330934575879,-1.345848475381733
0.0002500000000000002,-0.51682165,-0.56760051,0.13225000228999995,-0.13658354537000006,1.0571214628065528,-1.1456369629911027
0.00030000000000000165,-0.52310306,-0.55126885,0.12596859229000001,-0.12025188537000009,1.0069119111036586,-1.0086500857481808
0.0003500000000000031,-0.53440959,-0.53493719,0.11466206228999998,-0.10392022537000001,0.9165347819853025,-0.8716632085052581
0.0004000000000000045,-0.53817844,-0.51734925,0.11089321228999993,-0.08633228537000004,0.8864090189901378,-0.7241388920710515
0.00045000000000000595,-0.54697241,-0.50604272,0.10209924229,-0.07502575537,0.8161156785795131,-0.6293018554713783
0.0005000000000000004,-0.55074125,-0.49473619,0.09833040229000001,-0.06371922537000008,0.7859899955179174,-0.5344648188717059
0.0005500000000000019,-0.55702266,-0.47966081,0.09204899228999996,-0.04864384537000005,0.7357804438150222,-0.40801538082006844
0.0006000000000000033,-0.56456035,-0.47086684,0.08451130228999992,-0.039849875370000065,0.6755289977582618,-0.33425322260296514
0.0006500000000000047,-0.57209803,-0.45956031,0.07697362228999993,-0.028543345370000084,0.6152776316350704,-0.23941618600329231
0.0007000000000000062,-0.57335432,-0.4532789,0.07571733229,-0.02226193537000004,0.6052356573476371,-0.18672890616875812
0.0007500000000000007,-0.58340457,-0.44448493,0.06566708228999996,-0.013467965370000057,0.5249004225831463,-0.11296674795165482
0.0008000000000000021,-0.58968597,-0.43569096,0.059385682289999964,-0.0046739953700000725,0.47469095081382007,-0.039204589734551536
0.0008500000000000035,-0.5947111,-0.42940955,0.05436055228999992,0.0016074146299999703,0.4345232934647902,0.013482690099982665
0.000900000000000005,-0.60224879,-0.42564071,0.04682286228999999,0.005376254629999966,0.37427184740803066,0.04509500767383699
0.0009499999999999995,-0.60601763,-0.41684674,0.043054022289999994,0.01417022462999995,0.34414616434643497,0.11885716589094028
0.0010000000000000009,-0.60727391,-0.41182161,0.041797742289999995,0.01919535462999994,0.33410426999256976,0.16100700653418923
0.0010500000000000023,-0.61858045,-0.40930905,0.03049120229000002,0.021707914629999936,0.24372706094064556,0.18208188491675878
0.0011000000000000038,-0.62360557,-0.40177136,0.025466082289999914,0.02924560462999992,0.20355948352518374,0.2453066039425773
0.0011500000000000052,-0.62486185,-0.39674624,0.024209802289999915,0.03427072462999997,0.1935175891713185,0.28745636070771685
0.0011999999999999997,-0.62988698,-0.38920855,0.019184672289999982,0.04180841462999996,0.15334993182228948,0.35068107973353535
0.0012500000000000011,-0.63993723,-0.38795227,0.009134422289999944,0.043064694629999956,0.07301469705779864,0.36121851892482015
0.0013000000000000025,-0.64370607,-0.38041458,0.005365582289999948,0.05060238462999994,0.04288901399620294,0.42444323795063865
0.001350000000000004,-0.64621864,-0.38167086,0.002853012290000012,0.04934610462999994,0.02280514535490438,0.4139057987593539
0.0014000000000000054,-0.65250004,-0.37413317,-0.0034283877099999804,0.05688379462999993,-0.027404326414421785,0.4771305177851724
0.00145,-0.65878145,-0.37036433,-0.009709797710000023,0.060652634629999924,-0.07761387811731693,0.5087428353590268
0.0015000000000000013,-0.66129401,-0.36910805,-0.01222235771000002,0.06190891462999992,-0.0976976668250474,0.5192802745503114
0.0015500000000000028,-0.67008798,-0.36282664,-0.02101632771000006,0.06819032462999997,-0.167991007235673,0.5719675543848457
0.0016000000000000042,-0.67511311,-0.36031408,-0.026041457709999993,0.07070288462999996,-0.20815866458470203,0.5930424327674152
0.0016500000000000056,-0.67888195,-0.35654523,-0.02981029770999999,0.07447173462999995,-0.23828434764629775,0.6246548342193794
0.0017000000000000001,-0.68139452,-0.35654523,-0.032322867710000036,0.07447173462999995,-0.2583682162875972,0.6246548342193794
0.0017500000000000016,-0.68767592,-0.35403267,-0.03860426771000003,0.07698429462999995,-0.30857768805692337,0.645729712601949
