channel,mean_v,min_v,max_v,peak_to_peak_v,amplitude_v,rms_total_v,rms_ac_v,frequency_hz,period_s,phase_deg
CH1,1.3419144725084997,0.29994966,2.40045215,2.10050249,1.050251245,1.6908116593724536,1.0286445527693542,200.0,0.005,89.85842794597683
CH2,1.4561609981385,0.41537709,2.500804203,2.0854271129999997,1.0427135564999999,1.779718772654288,1.0232272754566174,200.0,0.005,-89.91786681803146
