time_s,ch1_v,ch2_v
-0.04305,-0.51179653,-0.58518845
-0.043,-0.51179653,-0.59021357
-0.04295,-0.5067714,-0.5952387
-0.0429,-0.5067714,-0.60026382
-0.04285,-0.50300256,-0.60403267
-0.0428,-0.50551512,-0.60780151
-0.04275,-0.5067714,-0.61282664
-0.0427,-0.50300256,-0.61785176
-0.04265,-0.50300256,-0.62036432
-0.0426,-0.50174628,-0.62413317
-0.04255,-0.49797743,-0.62915829
-0.0425,-0.49797743,-0.63418342
-0.04245,-0.49672115,-0.6354397
-0.0424,-0.49672115,-0.64423367
-0.04235,-0.49420859,-0.64423367
-0.0423,-0.49169603,-0.6492588
-0.04225,-0.49169603,-0.65302764
-0.0422,-0.49169603,-0.65805277
-0.04215,-0.49043974,-0.66307789
-0.0421,-0.48792718,-0.66307789
-0.04205,-0.48918346,-0.67187186
-0.042,-0.48541462,-0.67815327
-0.04195,-0.4866709,-0.68066583
-0.0419,-0.49420859,-0.64800252
-0.04185,-0.50425884,-0.6153392
-0.0418,-0.51179653,-0.59146985
-0.04175,-0.51933422,-0.57011307
-0.0417,-0.52435934,-0.55252513
-0.04165,-0.53064075,-0.52991206
-0.0416,-0.53943472,-0.51986181
-0.04155,-0.54697241,-0.50478644
-0.0415,-0.54948497,-0.48971106
-0.04145,-0.55702266,-0.48091709
-0.0414,-0.5607915,-0.46961056
-0.04135,-0.56707291,-0.46081659
-0.0413,-0.57586688,-0.45453518
-0.04125,-0.580892,-0.44322865
-0.0412,-0.58717341,-0.43694724
-0.04115,-0.59094226,-0.42940955
-0.0411,-0.59847994,-0.42187186
-0.04105,-0.60476135,-0.41433418
-0.041,-0.61104276,-0.41056533
-0.04095,-0.6148116,-0.40554021
-0.0409,-0.62109301,-0.39800252
-0.04085,-0.62486185,-0.39297739
-0.0408,-0.63239954,-0.39046483
-0.04075,-0.63742467,-0.38669599
-0.0407,-0.64244979,-0.38041458
-0.04065,-0.64621864,-0.3791583
-0.0406,-0.65375633,-0.37413317
-0.04055,-0.65752517,-0.36910805
-0.0405,-0.66129401,-0.36785176
-0.04045,-0.66631914,-0.36282664
-0.0404,-0.67260055,-0.35905779
-0.04035,-0.67636939,-0.35654523
-0.0403,-0.68139452,-0.35277639
-0.04025,-0.68767592,-0.34649498
-0.0402,-0.69018849,-0.34649498
-0.04015,-0.69646989,-0.34398242
-0.0401,-0.7027513,-0.34272614
-0.04005,-0.70777643,-0.34021357
-0.04,-0.71154527,-0.33895729
-0.03995,-0.71531411,-0.33267589
-0.0399,-0.7228518,-0.33393217
-0.03985,-0.72662065,-0.32890704
-0.0398,-0.73541462,-0.3314196
-0.03975,-0.7366709,-0.32890704
-0.0397,-0.74043974,-0.33016332
-0.03965,-0.74672115,-0.32639448
-0.0396,-0.75174627,-0.32011307
-0.03955,-0.75048999,-0.31885679
-0.0395,-0.76054024,-0.31885679
-0.03945,-0.76179653,-0.31760051
-0.0394,-0.76933421,-0.31634423
-0.03935,-0.77435934,-0.31257538
-0.0393,-0.77812818,-0.31257538
-0.03925,-0.78440959,-0.30880654
-0.0392,-0.78692215,-0.31006282
-0.03915,-0.79320356,-0.30755026
-0.0391,-0.79822869,-0.30503769
-0.03905,-0.80325381,-0.30755026
-0.039,-0.80325381,-0.30252513
-0.03895,-0.8107915,-0.30252513
-0.0389,-0.81330406,-0.30126885
-0.03885,-0.81958547,-0.30126885
-0.0388,-0.82335431,-0.30126885
-0.03875,-0.82963572,-0.29875629
-0.0387,-0.83340456,-0.29624372
-0.03865,-0.83717341,-0.29624372
-0.0386,-0.83968597,-0.29373116
-0.03855,-0.84345482,-0.29373116
-0.0385,-0.84847994,-0.2912186
-0.03845,-0.8509925,-0.28870604
-0.0384,-0.85727391,-0.2912186
