channel,estimated_sampling_rate_Hz,shared_dominant_frequency_Hz,mean_voltage_V,std_voltage_V,min_voltage_V,max_voltage_V,peak_to_peak_V,amplitude_estimate_V,ac_rms_V,phase_at_shared_freq_deg,relative_phase_to_ch1_deg
1,1000.0,125.0,2.6160196776556774,0.13165811212436868,2.3635897435897437,2.793113553113553,0.4295238095238094,0.2147619047619047,0.13165152905418157,157.9204916526315,0.0
2,1000.0,125.0,2.839971941391941,0.002836473198845352,2.8221245421245422,2.8551648351648353,0.0330402930402931,0.01652014652014655,0.002836331371639641,-17.350917839635315,-175.27140949226683
3,1000.0,125.0,2.8376011794871796,0.004707306485062537,2.8197069597069597,2.852747252747253,0.0330402930402931,0.01652014652014655,0.004707071113853856,-11.77360273975838,-169.69409439238987
4,1000.0,125.0,2.843734021978022,0.004179537287339559,2.8253479853479853,2.8591941391941393,0.03384615384615408,0.01692307692307704,0.004179328305250509,-15.214292972123445,-173.13478462475496
5,1000.0,125.0,2.4922654065934067,0.1291463595294587,2.258021978021978,2.6706227106227107,0.4126007326007328,0.2063003663003664,0.1291399020500412,-23.371053548787696,178.70845479858076
