pc_time_s,idx,teensy_t_us,raw1,raw2,raw3,raw4,raw5,idx_jump,missing_frames,time_s,voltage1,voltage2,voltage3,voltage4,voltage5
0.0,0,0,3192,3387,3427,3422,2921,0,0,0.0,2.5723076923076924,2.7294505494505494,2.7616849816849816,2.7576556776556775,2.3539194139194137
0.00020800000000000001,1,998,3248,3359,3418,3410,2808,1,0,0.000998,2.6174358974358976,2.706886446886447,2.7544322344322345,2.747985347985348,2.262857142857143
0.000403,2,1998,3159,3404,3438,3443,2955,1,0,0.001998,2.545714285714286,2.743150183150183,2.7705494505494506,2.7745787545787546,2.3813186813186813
0.00126,3,2998,3020,3459,3460,3475,3134,1,0,0.002998,2.4336996336996335,2.7874725274725276,2.788278388278388,2.8003663003663,2.5255677655677657
0.002264,4,3998,2893,3488,3470,3493,3219,1,0,0.003998,2.331355311355311,2.8108424908424907,2.796336996336996,2.8148717948717947,2.594065934065934
0.003267,5,4998,2780,3504,3477,3502,3271,1,0,0.004998,2.2402930402930403,2.8237362637362637,2.801978021978022,2.8221245421245422,2.635970695970696
0.004269,6,5998,2919,3473,3461,3478,3196,1,0,0.005998,2.352307692307692,2.7987545787545787,2.789084249084249,2.8027838827838827,2.5755311355311354
0.005264,7,6998,3106,3421,3439,3445,3047,1,0,0.006998,2.503003663003663,2.756849816849817,2.7713553113553115,2.776190476190476,2.4554578754578755
0.006317,8,7998,3193,3386,3427,3424,2921,1,0,0.007998,2.573113553113553,2.7286446886446885,2.7616849816849816,2.759267399267399,2.3539194139194137
0.007264,9,8998,3245,3361,3418,3409,2811,1,0,0.008998,2.615018315018315,2.7084981684981684,2.7544322344322345,2.747179487179487,2.2652747252747254
0.008254,10,9998,3173,3404,3437,3441,2950,1,0,0.009998,2.556996336996337,2.743150183150183,2.7697435897435896,2.772967032967033,2.3772893772893773
0.009299,11,10998,3022,3459,3459,3476,3134,1,0,0.010998,2.4353113553113555,2.7874725274725276,2.7874725274725276,2.801172161172161,2.5255677655677657
0.010244999999999999,12,11998,2893,3488,3473,3491,3221,1,0,0.011998,2.331355311355311,2.8108424908424907,2.7987545787545787,2.813260073260073,2.5956776556776555
0.011269,13,12998,2779,3504,3477,3502,3269,1,0,0.012998,2.2394871794871793,2.8237362637362637,2.801978021978022,2.8221245421245422,2.634358974358974
0.01227,14,13998,2920,3473,3461,3477,3195,1,0,0.013998,2.353113553113553,2.7987545787545787,2.789084249084249,2.801978021978022,2.574725274725275
0.013243,15,14998,3105,3421,3438,3445,3045,1,0,0.014998,2.502197802197802,2.756849816849817,2.7705494505494506,2.776190476190476,2.453846153846154
0.014291,16,15998,3192,3386,3427,3425,2922,1,0,0.015998,2.5723076923076924,2.7286446886446885,2.7616849816849816,2.76007326007326,2.3547252747252747
0.015288,17,16998,3245,3360,3418,3409,2809,1,0,0.016998,2.615018315018315,2.707692307692308,2.7544322344322345,2.747179487179487,2.263663003663004
0.01628,18,17998,3161,3404,3440,3441,2954,1,0,0.017998,2.5473260073260073,2.743150183150183,2.772161172161172,2.772967032967033,2.3805128205128203
