channel,mean_v,min_v,max_v,peak_to_peak_v,amplitude_v,rms_total_v,rms_ac_v,frequency_hz,period_s,phase_deg
CH1,1.3617888439,0.32507529,2.42557778,2.1005024899999998,1.0502512449999999,1.7086809554092832,1.0320473593822537,120.0,0.008333333333333333,-89.55439895338489
CH2,1.4780328558350002,0.44552784,2.53095496,2.08542712,1.04271356,1.7990217020224055,1.0256207688126382,120.0,0.008333333333333333,90.12221900032286
